STATION_1_ATLAS COPCO GUN ENBLE
STATION_1 ATLAS COPCO_PGRM BIT0
STATION_1 ATLAS COPCO_PGRM BIT1
STATION_1 ATLAS COPCO_PGRM BIT2
STATION_2 ATLAS COPCO GUN ENBLE
STATION_2 ATLAS COPCO_PGRM BIT0
STATION_2 ATLAS COPCO_PGRM BIT1
STATION_2 ATLAS COPCO_PGRM BIT2
STATION_2 2/2 Exhaust Valve
STATION_1 DQ SPARE-2
STATION_1 BLOCKAGE TEST
STATION-1 MOTOR ON
STATION_1 BIN_1 ENABLE
STATION_1 BIN_2 ENABLE
STATION_2 SAFETY VALVE
STATION_2 BIN_1 ENABLE
STATION_2 PISTON CYL.-1
STATION_2 PISTON CYL.-2
STATION_2 CLAMP-2 CYL.
STATION_2 AIR FEEL CYL.
STATION_2 DOT PUNCH CYL.
STATION_2 CLAMP-1 CYL.FWD
STATION_2 CLAMP-1 CYL. REV
STATION_2 2/2 valve 0.3 bar air
STATION_2 2/2 valve 4 bar air
STATION_4 CLAMP CYL.
STATION_4 PNEUMATIC GUN
STATION_4 DQ SPARE-1
STATION_4 DQ SPARE-2
STATION_5 MOTOR ON
STATION_5 SIC MARKING START
STATION_5 SIC MARKING STOP
STATION_5_CAMERA PROG.SEL.-1
STATION_5_CAMERA PROG.SEL.-2
STATION_5_CAMERA PROG.SEL.-3
STATION_5 PNEUMATIC GUN-1
STATION_5 PNEUMATIC GUN-2
DQ-SPARE_6
DQ-SPARE_7
DQ-SPARE_8
DQ-SPARE_9
DQ-SPARE_10
DQ-SPARE_11
DQ-SPARE_12
DQ-SPARE_13
DQ-SPARE_14
DQ-SPARE_15
DQ-SPARE_16
CAMERA TRIGGER
STN-04_CAMERA RESULT OK
STN-04_CAMERA RESULT NOK
