Measurement file name;pun213703(lying down).scco
Measurement name;Measurement;;;Measurement;;;Measurement;;;Measurement;;
Date;3/1/2022;;;3/1/2022;;;3/1/2022;;;3/1/2022;;
Time;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;
Channel name;S/N 1947158622;;;S/N 1947158622;;;S/N 1948131903;;;S/N 1948131903;;
Unit;bar;;;°C;;;L/min;;;°C;;
Channel index;Channel A1;;;Channel A2;;;Channel A3;;;Channel A4;;
Time [s] / Points;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value
00:00:00.510;114.770;129.810;111.370;28.441;28.441;28.441;23.640;23.640;23.640;30.999;30.999;30.999
00:00:00.520;113.170;122.890;121.890;28.441;28.441;28.441;23.640;23.640;23.640;30.999;30.999;30.999
00:00:00.530;117.250;124.170;116.770;28.441;28.441;28.441;23.640;23.640;23.640;30.999;30.999;30.999
00:00:00.540;116.850;128.410;130.290;28.441;28.441;28.441;23.640;23.640;23.640;30.999;30.999;30.999
00:00:00.550;113.690;132.690;113.690;28.441;28.441;28.441;22.583;23.640;22.583;30.999;30.999;30.999
00:00:00.560;113.690;122.970;124.490;28.441;28.441;28.441;22.583;22.583;22.583;30.999;30.999;30.999
00:00:00.570;117.450;123.290;117.650;28.441;28.441;28.441;22.583;22.583;22.583;30.999;30.999;30.999
00:00:00.580;118.250;127.730;128.010;28.441;28.441;28.441;22.583;22.583;22.583;30.999;30.999;30.999
00:00:00.590;113.490;129.610;112.770;28.441;28.441;28.441;22.583;22.583;22.583;30.999;30.999;30.999
00:00:00.600;115.050;125.170;126.490;28.441;28.441;28.441;22.583;22.673;22.673;30.999;30.999;30.999
00:00:00.610;117.370;124.170;117.850;28.441;28.441;28.441;22.673;22.673;22.673;30.999;30.999;30.999
00:00:00.620;118.650;128.610;128.610;28.441;28.441;28.441;22.673;22.673;22.673;30.999;30.999;30.999
00:00:00.630;110.530;129.610;112.490;28.441;28.441;28.441;22.673;22.673;22.673;30.999;30.999;30.999
00:00:00.640;113.970;122.770;122.770;28.441;28.441;28.441;22.673;22.673;22.673;30.999;30.999;30.999
00:00:00.650;119.370;123.170;119.850;28.441;28.441;28.441;22.673;24.011;24.011;30.999;30.999;30.999
00:00:00.660;121.010;128.130;129.330;28.441;28.441;28.441;24.011;24.011;24.011;30.999;30.999;30.999
00:00:00.670;111.890;130.290;112.370;28.441;28.441;28.441;24.011;24.011;24.011;30.999;30.999;30.999
00:00:00.680;113.890;123.690;122.490;28.441;28.441;28.441;24.011;24.011;24.011;30.999;30.999;30.999
00:00:00.690;116.250;122.090;116.970;28.441;28.441;28.441;24.011;24.011;24.011;30.999;30.999;30.999
00:00:00.700;118.850;130.890;132.210;28.441;28.441;28.441;23.393;24.011;23.393;30.999;30.999;30.999
00:00:00.710;112.890;130.090;113.970;28.441;28.441;28.441;23.393;23.393;23.393;30.999;30.999;30.999
00:00:00.720;115.370;124.370;123.290;28.441;28.441;28.441;23.393;23.393;23.393;30.999;30.999;30.999
00:00:00.730;117.250;122.690;118.770;28.441;28.441;28.441;23.393;23.393;23.393;30.999;30.999;30.999
00:00:00.740;118.770;128.610;128.330;28.441;28.441;28.441;23.393;23.393;23.393;30.999;30.999;30.999
00:00:00.750;112.890;126.570;116.650;28.441;28.441;28.441;22.793;23.393;22.793;30.999;30.999;30.999
00:00:00.760;118.450;124.690;122.690;28.441;28.441;28.441;22.793;22.793;22.793;30.999;30.999;30.999
00:00:00.770;117.370;121.290;119.050;28.441;28.441;28.441;22.793;22.793;22.793;30.999;30.999;30.999
00:00:00.780;120.450;129.490;129.490;28.441;28.441;28.441;22.793;22.793;22.793;30.999;30.999;30.999
00:00:00.790;110.050;127.170;113.970;28.441;28.441;28.441;22.793;22.793;22.793;30.999;30.999;30.999
00:00:00.800;115.850;124.770;123.770;28.441;28.441;28.441;22.793;22.823;22.823;30.999;30.999;30.999
00:00:00.810;118.850;123.770;120.250;28.441;28.441;28.441;22.823;22.823;22.823;30.999;30.999;30.999
00:00:00.820;121.810;129.610;129.890;28.441;28.441;28.441;22.823;22.823;22.823;30.999;30.999;30.999
00:00:00.830;110.690;128.330;113.890;28.441;28.441;28.441;22.823;22.823;22.823;30.999;30.999;30.999
00:00:00.840;115.250;123.570;121.970;28.441;28.441;28.441;22.823;22.823;22.823;30.999;30.999;30.999
00:00:00.850;115.970;121.490;120.370;28.441;28.441;28.441;22.823;23.963;23.963;30.999;30.999;30.999
00:00:00.860;122.890;132.410;130.490;28.441;28.441;28.441;23.963;23.963;23.963;30.999;30.999;30.999
00:00:00.870;111.570;128.930;114.850;28.441;28.441;28.441;23.963;23.963;23.963;30.999;30.999;30.999
00:00:00.880;116.650;124.370;122.690;28.441;28.441;28.441;23.963;23.963;23.963;30.999;30.999;30.999
00:00:00.890;116.770;122.290;118.370;28.441;28.441;28.441;23.963;23.963;23.963;30.999;30.999;30.999
00:00:00.900;120.250;128.810;127.730;28.441;28.441;28.441;23.363;23.963;23.363;30.999;30.999;30.999
00:00:00.910;113.890;126.970;118.570;28.441;28.441;28.441;23.363;23.363;23.363;30.999;30.999;30.999
00:00:00.920;120.250;123.690;120.810;28.441;28.441;28.441;23.363;23.363;23.363;30.999;30.999;30.999
00:00:00.930;117.570;120.250;120.650;28.441;28.441;28.441;23.363;23.363;23.363;30.999;30.999;30.999
00:00:00.940;122.090;129.410;127.170;28.441;28.441;28.441;23.363;23.363;23.363;30.999;30.999;30.999
00:00:00.950;110.330;124.890;114.290;28.441;28.441;28.441;22.410;23.363;22.410;30.999;30.999;30.999
00:00:00.960;115.970;125.890;123.770;28.441;28.441;28.441;22.410;22.410;22.410;30.999;30.999;30.999
00:00:00.970;118.370;123.770;121.210;28.441;28.441;28.441;22.410;22.410;22.410;30.999;30.999;30.999
00:00:00.980;122.490;129.410;127.370;28.441;28.441;28.441;22.410;22.410;22.410;30.999;30.999;30.999
00:00:00.990;110.770;124.370;115.250;28.441;28.441;28.441;22.410;22.410;22.410;30.999;30.999;30.999
00:00:01;116.970;122.290;120.810;28.441;28.441;28.441;22.410;22.890;22.890;30.999;30.999;30.999
00:00:01.010;116.370;121.610;121.610;28.441;28.441;28.441;22.890;22.890;22.890;30.999;30.999;30.999
00:00:01.020;123.690;131.890;127.370;28.441;28.441;28.441;22.890;22.890;22.890;30.999;30.999;30.999
00:00:01.030;111.690;124.370;116.770;28.441;28.441;28.441;22.890;22.890;22.890;30.999;30.999;30.999
00:00:01.040;118.450;123.890;121.810;28.441;28.441;28.441;22.890;22.890;22.890;30.999;30.999;30.999
00:00:01.050;116.170;121.090;119.370;28.441;28.441;28.441;22.890;23.910;23.910;30.999;30.999;30.999
00:00:01.060;120.890;128.210;127.090;28.441;28.441;28.441;23.910;23.910;23.910;30.999;30.999;30.999
00:00:01.070;112.970;124.890;119.370;28.441;28.441;28.441;23.910;23.910;23.910;30.999;30.999;30.999
00:00:01.080;120.450;122.970;121.290;28.441;28.441;28.441;23.910;23.910;23.910;30.999;30.999;30.999
00:00:01.090;116.850;120.370;120.890;28.441;28.441;28.441;23.910;23.910;23.910;30.999;30.999;30.999
