STN-01_CYCLE START PB_1
STN-01_RESET PB
STN-01_BIN PICK SENSOR-1
STN-01_BIN PICK SENSOR-2
STN-01_SCREW GUN OK
STN-01_AIR PRESSURE OK
STN-01_ROLLER SENSOR-1
STN-01_ROLLER SENSOR-2
STN-01_ROLLER SENSOR-3
STN-01_ROLLER SENSOR-4
STN-01_SPARE
STN-01_SCREW GUN NOK
STN-01_DI SPARE_3
STN-02_CYCLE START PB_1
STN-02_CYCLE START PB_2
STN-02_E.STOP
STN-02_RESET PB
STN-02_START
STN-02_MAIN  PRESSURE SW
STN-02_BIN PICK SENSOR-1
STN-02_0.3 BAR AIR PRESSURE SWITCH
SNT-02_REJECTION BIN FB
STN-02_SEAL PRESENT SEN-1
STN-02_SEAL PRESENT SEN-2
STN-02_SEAL PRESENT SEN-3
STN-02_SEAL PRESENT SEN-4
STN-02_ SENSOR-5
STN-02_PISTON CYL.-1 REED SWITCH
STN-02_ PISTON CYL.-2 REED SWITCH
STN-02_ CLAMP-2 REED SWITCH
STN-02_ AIR FEEL REED SWITCH
STN-02_  CLAMP-1 FEW RS
STN-02_  CLAMP-1 REVRS
STN-02_SCREW GUN OK
STN-02_ DOT PUNCH REED SWITCH
STN-02_4 BAR AIR PRESSURE SWITCH
STN-02_SCREW GUN NOK
STN-04_CYCLE START PB_1
STN-04_CYCLE START PB_2
STN-04_EMERGENCY PB
STN-04_RESET PB
STN-04_CLAMPING CYL. RS
STN-04_PNEUMATIC GUN
STN-02 SCREW GUN NOK
STN-04_MANUAL TORQUE GUN F/B
STN-05_CYCLE START PB_1
STN-05_CYCLE START PB_2
STN-05_EMERGENCY PB
STN-05_RESET PB
STN-05_REVOLUTION SENSOR
STN-05_MARKING OK
STN-04_FIXTURE ID SEL.-1
STN-04_FIXTURE ID SEL.-2
STN-04_FIXTURE ID SEL.-3
STN-05_FIXTURE ID SEL.-1
STN-05_FIXTURE ID SEL.-2
STN-05_FIXTURE ID SEL.-3
STN-05_AIR PRESSURE
STN-05_MARKING CYL. RS
STN-05_AIR TOOL PICK UP SENSOR
STN-03 OK
DI-SPARE_15
DI-SPARE_16
DI-SPARE_17
